road_type,traffic_density,avg_speed,weather_condition,num_lanes,road_surface,lighting,accident_risk
Rural,139.10136363839908,114.10270826575747,Clear,3,Good,Daylight,0.14548330580052823
Highway,247.1098083576482,76.96301042699973,Foggy,3,Good,Daylight,0.46337784228989737
Rural,233.93469326383754,70.13719345705198,Rainy,3,Fair,Daylight,0.6022058518303128
Rural,243.0135317721696,80.53856080126565,Clear,5,Fair,Night,0.6302902457195627
Highway,313.5025820738511,81.63076498466941,Foggy,4,Good,Daylight,0.6433445388816218
Highway,284.5281762110919,37.03047049434958,Foggy,2,Fair,Night,0.8970831529799974
Rural,117.3997092564062,88.64108816231303,Rainy,2,Fair,Night,0.6999964758869927
Urban,79.51058269098634,65.23511023484255,Foggy,4,Fair,Night,0.7295577056309427
Rural,378.2369519269432,71.73819588480453,Clear,2,Fair,Daylight,0.5316928501187989
Rural,301.87284616774105,23.031660433515547,Foggy,2,Fair,Night,0.8822446295209351
Rural,211.5503456356687,96.45566325310304,Rainy,3,Good,Night,0.55668427441651
Rural,413.7610201241332,103.54279612678818,Foggy,3,poor,Daylight,
Highway,224.62631341743062,81.94215539345466,Clear,1,Good,Daylight,0.12755784582091872
Rural,408.18429032027336,94.87236352966626,Clear,1,Good,Night,0.4511546911787515
Urban,187.5902573805686,72.27060031721018,Foggy,2,Good,Daylight,0.4710116343668059
Highway,82.7803838953399,81.83533789785557,Foggy,3,Good,Night,0.5720264072463482
Urban,469.6878622099681,59.45716984632386,Clear,1,Good,Night,0.5168232915641217
Urban,227.5480081766179,99.18742650625126,Rainy,1,Fair,Night,0.5994813478471044
Urban,406.7116577822201,66.82709302644926,Clear,3,poor,Night,
Urban,175.61485995003702,88.02129044188825,Foggy,1,Fair,Daylight,0.4784354237069273
Highway,340.8643004556452,82.14293786195046,Foggy,4,poor,Night,
Highway,442.98989296597773,90.23145183857497,Rainy,4,Good,Daylight,0.5329928527971776
Urban,68.73981005299115,98.52158751252233,Clear,3,Good,Daylight,0.19731550991409902
Urban,423.78609410874014,71.27134815929952,Clear,3,Good,Night,0.5744194152621529
Highway,307.0998522373679,101.30659492556687,Rainy,1,Good,Night,0.49695036937727244
Highway,323.36228925885615,69.7257237271609,Clear,2,Good,Night,0.5167001249598601
Highway,285.4211003626922,115.66343228639369,Rainy,5,Good,Daylight,0.4259109556355871
Rural,443.51379647763906,95.26717486147942,Clear,4,Good,Daylight,0.3904876021638208
Rural,69.54501075603686,37.11416497460642,Rainy,4,poor,Daylight,
Rural,167.46277619113164,102.95844713634312,Rainy,3,Good,Night,0.49899116224033796
Urban,444.0931424866199,75.15876608066341,Rainy,2,Good,Night,0.7284267683284678
Rural,388.5555661393802,118.44609579738653,Foggy,3,Good,Night,0.6836925410202135
Urban,57.94032208037263,91.88190436735273,Foggy,1,poor,Daylight,
Urban,282.6528274443689,28.439074657019106,Foggy,2,poor,Daylight,
Rural,288.3077063207037,59.49604276103488,Clear,1,Good,Night,0.4021042266970633
Urban,230.39696080755968,71.72754026732665,Rainy,4,Fair,Night,0.7117639276502548
Rural,183.82699942789537,103.90136031598018,Clear,3,poor,Daylight,
Rural,356.7761826855539,92.93455343297727,Clear,3,Good,Night,0.4208611519654977
Highway,143.50570911713922,56.93600706116389,Rainy,5,poor,Night,
Rural,409.52685293226773,85.3432687502629,Foggy,2,Fair,Night,0.7631743352587561
Highway,411.3667223453623,77.69109078983793,Clear,4,Good,Daylight,0.38251961128805956
Rural,236.86764690776923,32.60526089524069,Clear,5,poor,Daylight,
Rural,177.59660490934144,43.485869299860056,Clear,5,Fair,Night,0.5954414826911947
Highway,177.74518171582093,54.11223127143144,Foggy,3,poor,Daylight,
Highway,267.0310957982946,39.54834063635029,Rainy,2,poor,Daylight,
Rural,373.81065113721144,35.013384583002555,Rainy,3,Good,Night,0.7152446439264019
Urban,211.49091094723644,25.819777013028705,Clear,2,Good,Night,0.48937237090071417
Highway,324.51950545598817,107.31025656089301,Rainy,5,poor,Night,
Urban,222.11800726216745,48.894341796485364,Foggy,1,Fair,Night,0.7719310263687585
Urban,187.0354351181225,49.032060393356616,Rainy,4,Good,Night,0.6498588873765344
Urban,61.18678216210737,40.62281374301554,Clear,5,poor,Daylight,
Highway,51.761347580925786,67.5397371863883,Clear,3,poor,Daylight,
Urban,152.243455024402,71.42419679223724,Rainy,4,Good,Daylight,0.3628504899202321
Highway,232.88282906044796,40.828135862508006,Clear,5,Good,Daylight,0.44871420456866895
Urban,433.0675253129271,80.85703378636506,Foggy,2,poor,Daylight,
Rural,409.3179093186914,92.29999595937491,Foggy,3,Good,Night,0.8598136199319175
Rural,170.22436816459543,57.38400859654519,Foggy,5,poor,Night,
Highway,160.0431993429347,78.54516968574387,Foggy,2,Fair,Night,0.7107966668585115
Rural,152.29493198151235,70.23019051644462,Clear,2,Good,Night,0.29254786321301873
Rural,202.65680323799015,39.55483983561022,Clear,2,Good,Daylight,0.2727288923868831
Urban,274.1894238027584,93.00109887745778,Rainy,4,poor,Night,
Highway,247.40049741420896,100.14530278240474,Clear,3,Good,Night,0.39704606937004777
Urban,148.22293945167218,84.87931155871675,Rainy,2,Fair,Night,0.5325436167066588
Urban,108.70313447462811,52.38960277710513,Clear,5,poor,Night,
Urban,55.660015618787924,112.67924944093012,Rainy,2,Fair,Night,0.48079533061147495
Urban,119.28345739992673,65.53583879951242,Rainy,3,Fair,Daylight,0.4864791038614848
Urban,367.4103665873532,46.58784853850979,Foggy,4,Fair,Night,0.9725393236408908
Urban,159.63735620551233,60.82346208219565,Rainy,2,Fair,Daylight,0.5285223498774094
